source_node_id,target_node_id,relationship_type,evidence
133,7,herb_has_action,inferred
133,10,herb_has_action,prabhava
134,1,herb_has_action,inferred
134,4,herb_has_action,inferred
134,6,herb_has_action,inferred
134,8,herb_has_action,inferred
135,1,herb_has_action,inferred
135,2,herb_has_action,inferred
135,3,herb_has_action,inferred
136,1,herb_has_action,inferred
136,2,herb_has_action,inferred
136,5,herb_has_action,inferred
136,7,herb_has_action,inferred
136,8,herb_has_action,inferred
137,1,herb_has_action,inferred
137,7,herb_has_action,inferred
138,1,herb_has_action,inferred
138,3,herb_has_action,inferred
138,5,herb_has_action,inferred
138,7,herb_has_action,inferred
139,1,herb_has_action,inferred
139,2,herb_has_action,inferred
139,7,herb_has_action,inferred
140,1,herb_has_action,inferred
140,6,herb_has_action,inferred
140,8,herb_has_action,inferred
140,3,herb_has_action,prabhava
141,1,herb_has_action,inferred
141,4,herb_has_action,inferred
141,5,herb_has_action,inferred
141,6,herb_has_action,inferred
142,1,herb_has_action,inferred
142,2,herb_has_action,inferred
142,3,herb_has_action,inferred
142,5,herb_has_action,inferred
143,1,herb_has_action,inferred
143,3,herb_has_action,inferred
143,4,herb_has_action,inferred
143,2,herb_has_action,prabhava
144,1,herb_has_action,inferred
144,2,herb_has_action,inferred
144,3,herb_has_action,inferred
145,1,herb_has_action,inferred
145,3,herb_has_action,inferred
145,5,herb_has_action,inferred
146,1,herb_has_action,inferred
146,5,herb_has_action,inferred
146,7,herb_has_action,inferred
146,8,herb_has_action,inferred
147,1,herb_has_action,inferred
147,3,herb_has_action,inferred
147,5,herb_has_action,inferred
147,7,herb_has_action,inferred
147,8,herb_has_action,inferred
148,1,herb_has_action,inferred
148,7,herb_has_action,inferred
149,1,herb_has_action,inferred
149,3,herb_has_action,inferred
149,5,herb_has_action,inferred
149,6,herb_has_action,inferred
149,7,herb_has_action,inferred
149,8,herb_has_action,inferred
150,1,herb_has_action,inferred
150,3,herb_has_action,inferred
150,4,herb_has_action,inferred
150,6,herb_has_action,inferred
150,7,herb_has_action,inferred
150,2,herb_has_action,prabhava
151,1,herb_has_action,inferred
151,2,herb_has_action,inferred
151,3,herb_has_action,inferred
151,4,herb_has_action,inferred
151,5,herb_has_action,inferred
151,6,herb_has_action,inferred
151,7,herb_has_action,inferred
151,8,herb_has_action,inferred
152,1,herb_has_action,inferred
152,2,herb_has_action,inferred
152,5,herb_has_action,inferred
152,8,herb_has_action,inferred
153,1,herb_has_action,inferred
153,6,herb_has_action,inferred
153,7,herb_has_action,inferred
153,10,herb_has_action,prabhava
154,1,herb_has_action,inferred
154,2,herb_has_action,inferred
154,3,herb_has_action,inferred
154,5,herb_has_action,inferred
154,6,herb_has_action,inferred
154,7,herb_has_action,inferred
154,8,herb_has_action,inferred
155,1,herb_has_action,inferred
155,7,herb_has_action,inferred
155,8,herb_has_action,inferred
156,1,herb_has_action,inferred
156,3,herb_has_action,inferred
156,4,herb_has_action,inferred
156,5,herb_has_action,inferred
156,8,herb_has_action,inferred
156,2,herb_has_action,prabhava
157,1,herb_has_action,inferred
157,3,herb_has_action,inferred
157,4,herb_has_action,inferred
157,7,herb_has_action,inferred
157,8,herb_has_action,inferred
158,1,herb_has_action,inferred
158,3,herb_has_action,inferred
158,6,herb_has_action,inferred
158,7,herb_has_action,inferred
159,1,herb_has_action,inferred
159,3,herb_has_action,inferred
159,4,herb_has_action,inferred
159,7,herb_has_action,inferred
159,2,herb_has_action,prabhava
160,1,herb_has_action,inferred
160,3,herb_has_action,inferred
160,5,herb_has_action,inferred
160,6,herb_has_action,inferred
160,7,herb_has_action,inferred
160,10,herb_has_action,prabhava
161,1,herb_has_action,inferred
161,5,herb_has_action,inferred
161,6,herb_has_action,inferred
162,1,herb_has_action,inferred
162,3,herb_has_action,inferred
162,5,herb_has_action,inferred
162,6,herb_has_action,inferred
162,8,herb_has_action,inferred
162,10,herb_has_action,prabhava
163,1,herb_has_action,inferred
163,2,herb_has_action,inferred
163,3,herb_has_action,inferred
163,6,herb_has_action,inferred
163,7,herb_has_action,inferred
164,1,herb_has_action,inferred
164,2,herb_has_action,inferred
164,4,herb_has_action,inferred
164,6,herb_has_action,inferred
165,1,herb_has_action,inferred
165,2,herb_has_action,inferred
165,5,herb_has_action,inferred
166,1,herb_has_action,inferred
166,2,herb_has_action,inferred
166,4,herb_has_action,inferred
166,5,herb_has_action,inferred
167,1,herb_has_action,inferred
167,2,herb_has_action,inferred
167,4,herb_has_action,inferred
167,5,herb_has_action,inferred
167,6,herb_has_action,inferred
167,8,herb_has_action,inferred
167,3,herb_has_action,prabhava
168,1,herb_has_action,inferred
168,2,herb_has_action,inferred
168,4,herb_has_action,inferred
168,5,herb_has_action,inferred
168,6,herb_has_action,inferred
169,1,herb_has_action,inferred
169,3,herb_has_action,inferred
169,5,herb_has_action,inferred
169,6,herb_has_action,inferred
169,7,herb_has_action,inferred
169,8,herb_has_action,inferred
170,1,herb_has_action,inferred
170,3,herb_has_action,inferred
170,6,herb_has_action,inferred
171,1,herb_has_action,inferred
171,2,herb_has_action,inferred
171,4,herb_has_action,inferred
172,1,herb_has_action,inferred
172,6,herb_has_action,inferred
172,8,herb_has_action,inferred
173,1,herb_has_action,inferred
173,4,herb_has_action,inferred
173,5,herb_has_action,inferred
173,6,herb_has_action,inferred
173,8,herb_has_action,inferred
174,1,herb_has_action,inferred
174,6,herb_has_action,inferred
174,8,herb_has_action,inferred
175,1,herb_has_action,inferred
175,4,herb_has_action,inferred
175,5,herb_has_action,inferred
175,6,herb_has_action,inferred
175,3,herb_has_action,prabhava
176,1,herb_has_action,inferred
176,2,herb_has_action,inferred
176,3,herb_has_action,inferred
176,4,herb_has_action,inferred
176,8,herb_has_action,inferred
177,1,herb_has_action,inferred
177,3,herb_has_action,inferred
177,6,herb_has_action,inferred
177,8,herb_has_action,inferred
178,1,herb_has_action,inferred
178,6,herb_has_action,inferred
178,3,herb_has_action,prabhava
179,1,herb_has_action,inferred
179,3,herb_has_action,inferred
179,4,herb_has_action,inferred
179,6,herb_has_action,inferred
179,7,herb_has_action,inferred
179,8,herb_has_action,inferred
180,1,herb_has_action,inferred
180,2,herb_has_action,inferred
181,1,herb_has_action,inferred
181,2,herb_has_action,inferred
181,6,herb_has_action,inferred
181,8,herb_has_action,inferred
182,1,herb_has_action,inferred
182,3,herb_has_action,inferred
182,4,herb_has_action,inferred
182,5,herb_has_action,inferred
183,1,herb_has_action,inferred
183,2,herb_has_action,inferred
183,4,herb_has_action,inferred
183,5,herb_has_action,inferred
183,8,herb_has_action,inferred
183,3,herb_has_action,prabhava
184,1,herb_has_action,inferred
184,2,herb_has_action,inferred
184,3,herb_has_action,inferred
184,6,herb_has_action,inferred
184,8,herb_has_action,inferred
185,1,herb_has_action,inferred
185,2,herb_has_action,inferred
185,3,herb_has_action,inferred
185,4,herb_has_action,inferred
186,1,herb_has_action,inferred
186,2,herb_has_action,inferred
186,6,herb_has_action,inferred
186,7,herb_has_action,inferred
186,8,herb_has_action,inferred
186,10,herb_has_action,prabhava
187,1,herb_has_action,inferred
187,2,herb_has_action,inferred
187,6,herb_has_action,inferred
187,8,herb_has_action,inferred
188,1,herb_has_action,inferred
188,7,herb_has_action,inferred
189,1,herb_has_action,inferred
189,2,herb_has_action,inferred
189,5,herb_has_action,inferred
189,6,herb_has_action,inferred
189,8,herb_has_action,inferred
190,1,herb_has_action,inferred
190,7,herb_has_action,inferred
191,1,herb_has_action,inferred
191,4,herb_has_action,inferred
191,6,herb_has_action,inferred
191,8,herb_has_action,inferred
192,1,herb_has_action,inferred
192,2,herb_has_action,inferred
192,3,herb_has_action,inferred
192,4,herb_has_action,inferred
192,7,herb_has_action,inferred
193,1,herb_has_action,inferred
193,2,herb_has_action,inferred
